[32mOPENAIRCN_DIR    = /home/airbustx2w/openair-cn[00m
[sudo] password for airbustx2w: 
Sorry, try again.
[sudo] password for airbustx2w: 
Initializing OAI Logging
Initializing MSC logs
Initializing MSC logs Done
000053 00000:484176 7F02614F3700 INFO  CONFIG nair-cn/src/mme_app/mme_config.c:0771        S6a log level........: TRACE
000054 00000:484180 7F02614F3700 INFO  CONFIG nair-cn/src/mme_app/mme_config.c:0772        UTIL log level.......: TRACE
000055 00000:484184 7F02614F3700 INFO  CONFIG nair-cn/src/mme_app/mme_config.c:0773        MSC log level........: ERROR (MeSsage Chart)
000056 00000:484188 7F02614F3700 INFO  CONFIG nair-cn/src/mme_app/mme_config.c:0774        ITTI log level.......: ERROR (InTer-Task Interface)
000057 00000:491943 7F02614F3700 DEBUG NAS    penair-cn/src/nas/nas_mme_task.c:0147    Initializing NAS task interface
000058 00000:491954 7F02614F3700 TRACE NAS    openair-cn/src/nas/nas_network.c:0076    Entering nas_network_initialize()
000059 00000:491962 7F02614F3700 TRACE NAS-EM 2w/openair-cn/src/nas/nas_proc.c:0084      Entering nas_proc_initialize()
000060 00000:491971 7F02614F3700 TRACE NAS-EM penair-cn/src/nas/emm/emm_main.c:0083         Entering emm_main_initialize()
000061 00000:491975 7F02614F3700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0110            Entering mme_api_get_emm_config()
000062 00000:491982 7F02614F3700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0162            Leaving mme_api_get_emm_config() (rc=0)
000063 00000:491990 7F02614F3700 TRACE NAS-EM penair-cn/src/nas/emm/emm_main.c:0100         Leaving emm_main_initialize()
000064 00000:491995 7F02614F3700 TRACE NAS-ES penair-cn/src/nas/esm/esm_main.c:0081         Entering esm_main_initialize()
000065 00000:492000 7F02614F3700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0195            Entering mme_api_get_esm_config()
000066 00000:492004 7F02614F3700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0207            Leaving mme_api_get_esm_config() (rc=0)
000067 00000:492011 7F02614F3700 TRACE NAS-ES openair-cn/src/nas/esm/esm_ebr.c:0110            Entering esm_ebr_initialize()
000068 00000:492015 7F02614F3700 TRACE NAS-ES openair-cn/src/nas/esm/esm_ebr.c:0111            Leaving esm_ebr_initialize()
