[32mOPENAIRCN_DIR    = /home/airbustx2w/openair-cn[00m
Initializing OAI Logging
Initializing MSC logs
Initializing MSC logs Done
000054 00000:192426 7F346682F700 INFO  CONFIG nair-cn/src/mme_app/mme_config.c:0772        UTIL log level.......: TRACE
000055 00000:192430 7F346682F700 INFO  CONFIG nair-cn/src/mme_app/mme_config.c:0773        MSC log level........: ERROR (MeSsage Chart)
000056 00000:192435 7F346682F700 INFO  CONFIG nair-cn/src/mme_app/mme_config.c:0774        ITTI log level.......: ERROR (InTer-Task Interface)
000057 00000:200426 7F346682F700 DEBUG NAS    penair-cn/src/nas/nas_mme_task.c:0147    Initializing NAS task interface
000058 00000:200435 7F346682F700 TRACE NAS    openair-cn/src/nas/nas_network.c:0076    Entering nas_network_initialize()
000059 00000:200442 7F346682F700 TRACE NAS-EM 2w/openair-cn/src/nas/nas_proc.c:0084      Entering nas_proc_initialize()
000060 00000:200450 7F346682F700 TRACE NAS-EM penair-cn/src/nas/emm/emm_main.c:0083         Entering emm_main_initialize()
000061 00000:200458 7F346682F700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0110            Entering mme_api_get_emm_config()
000062 00000:200464 7F346682F700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0162            Leaving mme_api_get_emm_config() (rc=0)
000063 00000:200472 7F346682F700 TRACE NAS-EM penair-cn/src/nas/emm/emm_main.c:0100         Leaving emm_main_initialize()
000064 00000:200477 7F346682F700 TRACE NAS-ES penair-cn/src/nas/esm/esm_main.c:0081         Entering esm_main_initialize()
000065 00000:200482 7F346682F700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0195            Entering mme_api_get_esm_config()
000066 00000:200486 7F346682F700 TRACE NAS    air-cn/src/nas/api/mme/mme_api.c:0207            Leaving mme_api_get_esm_config() (rc=0)
000067 00000:200493 7F346682F700 TRACE NAS-ES openair-cn/src/nas/esm/esm_ebr.c:0110            Entering esm_ebr_initialize()
000068 00000:200498 7F346682F700 TRACE NAS-ES openair-cn/src/nas/esm/esm_ebr.c:0111            Leaving esm_ebr_initialize()
000069 00000:200503 7F346682F700 TRACE NAS-ES penair-cn/src/nas/esm/esm_main.c:0093         Leaving esm_main_initialize()
000070 00000:200507 7F346682F700 TRACE NAS-EM 2w/openair-cn/src/nas/nas_proc.c:0093      Leaving nas_proc_initialize()
000071 00000:200511 7F346682F700 TRACE NAS    openair-cn/src/nas/nas_network.c:0082    Leaving nas_network_initialize()
000072 00000:200723 7F346682F700 DEBUG NAS    penair-cn/src/nas/nas_mme_task.c:0156    Initializing NAS task interface: DONE
000073 00000:200734 7F346682F700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0760    Initializing SCTP task interface
000074 00000:200762 7F346682F700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0774    Initializing SCTP task interface: DONE
000075 00000:200770 7F346682F700 DEBUG UDP    /src/udp/udp_primitives_server.c:0356    Initializing UDP task interface
000076 00000:200801 7F346682F700 DEBUG UDP    /src/udp/udp_primitives_server.c:0364    Initializing UDP task interface: DONE
000077 00000:200811 7F346682F700 DEBUG S11    penair-cn/src/s11/s11_mme_task.c:0266    Initializing S11 interface
000078 00000:200931 7F346682F700 DEBUG S11    penair-cn/src/s11/s11_mme_task.c:0249    Tx UDP_INIT IP addr 127.0.11.1:2123
000079 00000:200945 7F346682F700 DEBUG S11    penair-cn/src/s11/s11_mme_task.c:0313    Initializing S11 interface: DONE
000081 00000:200953 7F346682F700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0231    Initializing S1AP interface
000080 00000:200953 7F345AFFD700 DEBUG UDP    /src/udp/udp_primitives_server.c:0126    Creating new listen socket on address 127.0.11.1 and port 2123
000082 00000:200963 7F346682F700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0237    ASN1C version 924
000083 00000:200968 7F346682F700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0240    S1AP Release v10.5
000084 00000:200983 7F345AFFD700 DEBUG UDP    /src/udp/udp_primitives_server.c:0171    Inserting new descriptor for task 6, sd 33
000085 00000:200991 7F345AFFD700 DEBUG UDP    /src/udp/udp_primitives_server.c:0187    Received 1 events
000086 00000:201001 7F346682F700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0262    Initializing S1AP interface: DONE
000087 00000:201007 7F345B7FE700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0632    Received SCTP_INIT_MSG
000088 00000:201028 7F346682F700 TRACE MME-AP ir-cn/src/mme_app/mme_app_main.c:0220    Entering mme_app_init()
000089 00000:201031 7F345B7FE700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0319    Creating new listen socket on port 36412 with
000090 00000:201036 7F345B7FE700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0324    ipv4 addresses:
000091 00000:201043 7F345B7FE700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0327    	- 192.168.12.62
000092 00000:201071 7F346682F700 DEBUG MME-AP ir-cn/src/mme_app/mme_app_main.c:0258      Initializing MME applicative layer: DONE
000093 00000:201077 7F346682F700 TRACE MME-AP ir-cn/src/mme_app/mme_app_main.c:0259    Leaving mme_app_init() (rc=0)
